,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
7107,Kepler-1232 b,Kepler-1232,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi),0,26.783720000000002,0.00036,-0.00036,0.0,0.16399999999999998,0.0,1.7,0.83,-0.83,0.0,0.0,0.0,0,5413.0,96.0,-96.0,0.0,0.91,0.44,-0.44,0.0,0.82,0.07,-0.07,0.0,,,,0.0,,4.43,0.3,-0.3,0.0,19h46m12.02s,296.5500966,+49d06m08.31s,49.102307,632.865,7.5845,-7.5845,14.97,0.114,-0.114,12.965,0.024,-0.024,14.7619,0.00031,-0.00031,28-10-13,08-01-14,28-10-13
7116,Kepler-1233 b,Kepler-1233,1,1,Transit,2016,Kepler,Published Confirmed,0,45.12638103,8.84e-06,-8.84e-06,0.0,,,,,,,,,0,6118.89,109.02,-109.02,0.0,1.15,,,0.0,1.15,,,0.0,-0.302,0.10099999999999999,-0.10099999999999999,0.0,[M/H],4.38,,,0.0,19h49m30.02s,297.37509539999996,+46d39m43.99s,46.6622201,1178.7,38.03,-38.03,14.82,0.012,-0.012,13.258,0.034,-0.034,14.6594,0.000322,-0.000322,26-07-16 21:41,2016-07,28-07-16
7125,Kepler-1234 b,Kepler-1234,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,11.94014029,8.335e-05,-8.335e-05,0.0,0.0963,0.0,2.87,0.45,-0.21,0.0,0.0,0.0,0,5072.0,181.0,-142.0,0.0,0.77,0.12,-0.06,0.0,0.83,0.07,-0.08,0.0,0.07,0.27,-0.27,0.0,[Fe/H],4.58,0.03,-0.1,0.0,19h10m05.29s,287.5220359,+51d22m33.41s,51.3759464,916.7489999999999,31.044,-31.044,15.915,1.133,-1.133,13.797,0.046,-0.046,15.878,0.0006389999999999999,-0.0006389999999999999,18-11-14,04-12-14,18-11-14
7133,Kepler-1235 b,Kepler-1235,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,4.16055856,2.789e-05,-2.789e-05,0.0,0.049,0.0,0.68,0.21,-0.05,0.0,0.0,0.0,0,5492.0,151.0,-139.0,0.0,0.81,0.25,-0.06,0.0,0.91,0.07,-0.09,0.0,-0.08,0.29,-0.26,0.0,[Fe/H],4.58,0.03,-0.21,0.0,18h59m36.74s,284.90306769999995,+43d57m14.62s,43.9540616,540.604,4.3595,-4.3595,14.079,0.08,-0.08,12.199000000000002,0.023,-0.023,13.8765,0.00019099999999999998,-0.00019099999999999998,21-11-14,18-12-14,21-11-14
7141,Kepler-1236 b,Kepler-1236,1,1,Transit,2016,Kepler,Published Confirmed,0,,,,,,,1.91,0.182,-0.19,0.0,,,0,5413.0,189.0,-189.0,0.0,0.76,0.07,-0.06,0.0,,,,,,,,,,,,,,19h42m29.94s,295.6247375,+42d32m45.15s,42.545873900000004,999.64,36.7545,-36.7545,16.145,0.149,-0.149,14.017999999999999,0.054000000000000006,-0.054000000000000006,15.9248,0.00061,-0.00061,04-09-18 17:00,2018-10,06-09-18
7150,Kepler-1237 b,Kepler-1237,1,1,Transit,2016,Kepler,Published Confirmed,0,84.57325092,0.00048598,-0.00048598,0.0,,,,,,,,,0,5145.0,122.0,-122.0,0.0,0.94,,,0.0,0.87,,,0.0,,,,,,4.44,,,0.0,19h42m31.03s,295.6292745,+44d41m26.09s,44.6905815,1064.31,41.75,-41.75,16.012,0.092,-0.092,13.850999999999999,0.045,-0.045,15.7553,0.00045599999999999997,-0.00045599999999999997,16-04-19 11:21,2019-03,18-04-19
7159,Kepler-1238 b,Kepler-1238,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,4.14789051,3.408e-05,-3.408e-05,0.0,0.0541,0.0,1.93,0.37,-0.3,0.0,0.0,0.0,0,6150.0,79.0,-79.0,0.0,1.42,0.27,-0.22,0.0,1.23,0.09,-0.11,0.0,0.16,0.15,-0.15,0.0,[Fe/H],4.22,0.12,-0.12,0.0,19h51m37.38s,297.9057655,+40d09m46.22s,40.1628378,1632.13,67.34,-67.34,14.919,0.183,-0.183,13.259,0.03,-0.03,14.7328,0.000305,-0.000305,08-05-17,31-08-17 0:00,08-05-17
7166,Kepler-1239 b,Kepler-1239,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,5.19103699,2.846e-05,-2.846e-05,0.0,0.0625,0.0,1.92,0.64,-0.21,0.0,0.0,0.0,0,6321.0,174.0,-261.0,0.0,1.12,0.37,-0.12,0.0,1.21,0.17,-0.17,0.0,0.07,0.25,-0.35,0.0,[Fe/H],4.42,0.06,-0.22,0.0,19h32m30.56s,293.1273357,+42d19m12.21s,42.3200578,2140.6,146.9,-146.9,15.390999999999998,0.138,-0.138,14.354000000000001,0.11599999999999999,-0.11599999999999999,15.3947,0.000455,-0.000455,08-05-17,31-08-17 0:00,08-05-17
7173,Kepler-124 b,Kepler-124,1,3,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,3.41045424,1.309e-05,-1.309e-05,0.0,0.0398,0.0,0.8,0.14,-0.04,0.0,0.0,0.0,0,5196.0,161.0,-127.0,0.0,0.66,0.11,-0.04,0.0,0.72,0.08,-0.07,0.0,-0.54,0.34,-0.3,0.0,[Fe/H],4.66,0.03,-0.1,0.0,19h07m00.66s,286.75273219999997,+49d03m53.56s,49.064878799999995,420.046,3.0255,-3.0255,14.4,0.126,-0.126,12.232999999999999,0.026000000000000002,-0.026000000000000002,14.124,0.00021899999999999998,-0.00021899999999999998,25-08-15,24-09-15,25-08-15
7181,Kepler-124 c,Kepler-124,1,3,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,13.82142084,2.223e-05,-2.223e-05,0.0,0.1005,0.0,2.2,0.15,-0.08,0.0,0.0,0.0,0,4983.0,100.0,-100.0,0.0,0.65,0.04,-0.02,0.0,0.71,0.03,-0.05,0.0,-0.44,0.15,-0.15,0.0,[Fe/H],4.66,0.02,-0.05,0.0,19h07m00.66s,286.75273219999997,+49d03m53.56s,49.064878799999995,420.046,3.0255,-3.0255,14.4,0.126,-0.126,12.232999999999999,0.026000000000000002,-0.026000000000000002,14.124,0.00021899999999999998,-0.00021899999999999998,08-05-17,31-08-17 0:00,08-05-17
7191,Kepler-124 d,Kepler-124,1,3,Transit,2014,Kepler,Published Confirmed,0,,,,,,,1.756,0.078,-0.429,0.0,,,0,4960.0,99.0,-99.0,0.0,0.76,0.03,-0.03,0.0,,,,,,,,,,,,,,19h07m00.66s,286.75273219999997,+49d03m53.56s,49.064878799999995,420.046,3.0255,-3.0255,14.4,0.126,-0.126,12.232999999999999,0.026000000000000002,-0.026000000000000002,14.124,0.00021899999999999998,-0.00021899999999999998,04-09-18 16:58,2018-10,06-09-18
7201,Kepler-1240 b,Kepler-1240,1,1,Transit,2016,Kepler,Published Confirmed,0,4.86641452,2.941e-05,-2.941e-05,0.0,,,,,,,,,0,5591.36,47.93,-47.93,0.0,1.38,,,0.0,0.99,,,0.0,0.28800000000000003,0.046,-0.046,0.0,[M/H],4.16,,,0.0,18h51m59.94s,282.9997682,+40d33m26.76s,40.5574322,862.186,13.7155,-13.7155,14.092,0.092,-0.092,12.360999999999999,0.028999999999999998,-0.028999999999999998,13.9609,0.00020299999999999997,-0.00020299999999999997,16-04-19 11:21,2019-03,18-04-19
7209,Kepler-1241 b,Kepler-1241,1,1,Transit,2016,Kepler,Published Confirmed,0,18.55270085,0.00011409,-0.00011409,0.0,,,,,,,,,0,5235.0,122.0,-122.0,0.0,0.84,,,0.0,0.89,,,0.0,,,,,,4.54,,,0.0,19h38m18.29s,294.57620330000003,+38d27m25.05s,38.456958799999995,968.722,30.46,-30.46,15.886,0.183,-0.183,13.764000000000001,0.051,-0.051,15.669,0.000739,-0.000739,16-04-19 11:21,2019-03,18-04-19
7218,Kepler-1242 b,Kepler-1242,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,13.62801048,6.229e-05,-6.229e-05,0.0,0.1039,0.0,3.28,0.42,-0.42,0.0,0.0,0.0,0,5052.0,192.0,-174.0,0.0,0.85,0.11,-0.11,0.0,0.81,0.09,-0.06,0.0,0.16,0.25,-0.3,0.0,[Fe/H],4.48,0.1,-0.1,0.0,18h58m25.49s,284.6062174,+41d11m46.84s,41.196344,687.615,13.7685,-13.7685,15.714,0.20600000000000002,-0.20600000000000002,13.343,0.03,-0.03,15.4984,0.000481,-0.000481,08-05-17,31-08-17 0:00,08-05-17
7227,Kepler-1243 b,Kepler-1243,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,16.8320729,8.923e-05,-8.923e-05,0.0,0.1243,0.0,1.64,0.67,-0.17,0.0,0.0,0.0,0,5772.0,165.0,-152.0,0.0,0.9,0.37,-0.09,0.0,0.9,0.12,-0.08,0.0,-0.22,0.29,-0.26,0.0,[Fe/H],4.49,0.06,-0.28,0.0,19h36m02.26s,294.00939700000004,+42d52m50.80s,42.8807779,758.17,13.5955,-13.5955,14.898,0.114,-0.114,13.168,0.031,-0.031,14.8331,0.000328,-0.000328,21-11-14,18-12-14,21-11-14
7236,Kepler-1244 b,Kepler-1244,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,3.70428172,1.784e-05,-1.784e-05,0.0,0.049,0.0,1.15,0.55,-0.26,0.0,0.0,0.0,0,6728.0,155.0,-210.0,0.0,1.48,0.71,-0.33,0.0,1.14,0.26,-0.14,0.0,-0.44,0.22,-0.3,0.0,[Fe/H],4.15,0.18,-0.27,0.0,18h49m12.30s,282.3012505,+46d30m58.25s,46.5161814,1075.81,25.985,-25.985,12.444,0.16,-0.16,11.269,0.011000000000000001,-0.011000000000000001,12.3234,0.000185,-0.000185,18-11-14,04-12-14,18-11-14
7244,Kepler-1245 b,Kepler-1245,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,4.35409304,1.933e-05,-1.933e-05,0.0,0.0484,0.0,1.56,0.77,-0.22,0.0,0.0,0.0,0,5455.0,177.0,-149.0,0.0,0.91,0.45,-0.13,0.0,0.8,0.15,-0.06,0.0,-0.2,0.34,-0.26,0.0,[Fe/H],4.42,0.12,-0.32,0.0,19h22m58.63s,290.7443078,+43d15m38.71s,43.260753,805.936,16.038,-16.038,15.582,0.046,-0.046,13.519,0.033,-0.033,15.3721,0.000462,-0.000462,18-11-14,04-12-14,18-11-14
7252,Kepler-1245 c,Kepler-1245,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,2.93658468,8.400000000000001e-06,-8.400000000000001e-06,0.0,0.0372,0.0,1.64,0.81,-0.23,0.0,0.0,0.0,0,5455.0,177.0,-149.0,0.0,0.91,0.45,-0.13,0.0,0.8,0.15,-0.06,0.0,-0.2,0.34,-0.26,0.0,[Fe/H],4.42,0.12,-0.32,0.0,19h22m58.63s,290.7443078,+43d15m38.71s,43.260753,805.936,16.038,-16.038,15.582,0.046,-0.046,13.519,0.033,-0.033,15.3721,0.000462,-0.000462,18-11-14,04-12-14,18-11-14
7259,Kepler-1246 b,Kepler-1246,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi),0,11.32306,0.00022999999999999998,-0.00022999999999999998,0.0,0.085,0.0,1.12,0.28,-0.28,0.0,0.0,0.0,0,4592.0,60.0,-60.0,0.0,0.62,0.01,-0.01,0.0,0.65,0.01,-0.01,0.0,,,,0.0,,4.67,0.3,-0.3,0.0,19h10m37.74s,287.65723460000004,+48d58m55.94s,48.9822053,436.505,7.167000000000001,-7.167000000000001,15.27,0.13699999999999998,-0.13699999999999998,12.59,0.031,-0.031,15.0318,0.000407,-0.000407,28-10-13,08-01-14,28-10-13
7267,Kepler-1247 b,Kepler-1247,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi),0,13.712060000000001,0.00029,-0.00029,0.0,0.111,0.0,2.2,1.1,-1.1,0.0,0.0,0.0,0,5345.0,200.0,-200.0,0.0,0.8,0.3,-0.3,0.0,0.97,0.3,-0.3,0.0,,,,0.0,,4.62,0.3,-0.3,0.0,19h38m08.06s,294.5335974,+46d37m05.65s,46.6182365,1045.92,40.645,-40.645,15.925,0.183,-0.183,14.069,0.057,-0.057,15.9013,0.000557,-0.000557,28-10-13,08-01-14,28-10-13
7276,Kepler-1248 b,Kepler-1248,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,7.46725407,5.302e-05,-5.302e-05,0.0,0.0779,0.0,1.16,0.22,-0.14,0.0,0.0,0.0,0,6045.0,96.0,-132.0,0.0,1.23,0.24,-0.15,0.0,1.13,0.1,-0.09,0.0,0.12,0.09,-0.14,0.0,[Fe/H],4.31,0.09,-0.14,0.0,19h12m14.21s,288.0592191,+51d21m16.04s,51.354456400000004,593.026,,,12.9,0.10300000000000001,-0.10300000000000001,11.449000000000002,0.023,-0.023,12.9248,0.010701,-0.010701,21-11-14,18-12-14,21-11-14
7283,Kepler-1249 b,Kepler-1249,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,24.3344939,0.0002829,-0.0002829,0.0,0.16699999999999998,0.0,1.74,0.51,-0.18,0.0,0.0,0.0,0,6091.0,169.0,-211.0,0.0,0.97,0.28,-0.1,0.0,1.04,0.13,-0.14,0.0,-0.14,0.25,-0.35,0.0,[Fe/H],4.49,0.05,-0.2,0.0,19h47m34.76s,296.8948517,+44d22m18.27s,44.3717429,1904.54,113.695,-113.695,15.390999999999998,0.423,-0.423,13.828,0.05,-0.05,15.3518,0.000468,-0.000468,08-05-17,31-08-17 0:00,08-05-17
7292,Kepler-125 b,Kepler-125,1,2,Transit,2014,Kepler,Kepler Project Candidate (q1_q8_koi),0,4.1643875,6.4e-06,-6.4e-06,0.0,0.040999999999999995,0.0,2.59,0.28,-0.28,0.0,0.0,0.0,0,3996.0,200.0,-200.0,0.0,0.52,0.03,-0.03,0.0,0.54,0.04,-0.04,0.0,,,,0.0,,4.74,0.3,-0.3,0.0,19h53m01.95s,298.2581101,+47d36m18.01s,47.605003100000005,183.365,0.9840000000000001,-0.9840000000000001,15.431,0.046,-0.046,11.682,0.019,-0.019,14.7675,0.000496,-0.000496,28-10-13,08-01-14,28-10-13
7306,Kepler-125 c,Kepler-125,1,2,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,5.77440326,3.059e-05,-3.059e-05,0.0,0.0511,0.0,0.8,0.06,-0.06,0.0,0.0,0.0,0,3808.0,76.0,-84.0,0.0,0.51,0.04,-0.04,0.0,0.53,0.04,-0.04,0.0,-0.06,0.15,-0.15,0.0,[Fe/H],4.75,0.04,-0.04,0.0,19h53m01.95s,298.2581101,+47d36m18.01s,47.605003100000005,183.365,0.9840000000000001,-0.9840000000000001,15.431,0.046,-0.046,11.682,0.019,-0.019,14.7675,0.000496,-0.000496,08-05-17,31-08-17 0:00,08-05-17
7318,Kepler-1250 b,Kepler-1250,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,2.60754516,6.58e-06,-6.58e-06,0.0,0.0393,0.0,2.07,0.62,-0.23,0.0,0.0,0.0,0,6147.0,172.0,-236.0,0.0,1.1,0.33,-0.12,0.0,1.19,0.13,-0.18,0.0,0.21,0.2,-0.35,0.0,[Fe/H],4.43,0.05,-0.21,0.0,19h11m10.52s,287.79381839999996,+45d58m48.90s,45.9802492,2126.85,129.455,-129.455,15.693,0.08,-0.08,14.008,0.055,-0.055,15.5694,0.000414,-0.000414,08-05-17,31-08-17 0:00,08-05-17
7326,Kepler-1251 b,Kepler-1251,1,1,Transit,2016,Kepler,Published Confirmed,0,45.0910568,0.00034768,-0.00034768,0.0,,,,,,,,,0,5558.2,59.93,-59.93,0.0,0.9,,,0.0,0.98,,,0.0,0.319,0.057999999999999996,-0.057999999999999996,0.0,[M/H],4.52,,,0.0,19h28m27.63s,292.11510930000003,+49d15m22.97s,49.256379200000005,902.204,21.575,-21.575,15.024000000000001,0.115,-0.115,13.269,0.042,-0.042,14.9391,0.000396,-0.000396,16-04-19 11:21,2019-03,18-04-19
7335,Kepler-1252 b,Kepler-1252,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,15.0540329,0.0001248,-0.0001248,0.0,0.1078,0.0,1.27,0.78,-0.16,0.0,0.0,0.0,0,5475.0,185.0,-156.0,0.0,0.82,0.5,-0.1,0.0,0.73,0.16,-0.04,0.0,-0.46,0.38,-0.26,0.0,[Fe/H],4.48,0.1,-0.42,0.0,19h55m48.09s,298.95036339999996,+46d41m34.24s,46.692843700000005,648.979,8.166,-8.166,14.743,0.08,-0.08,12.69,0.023,-0.023,14.4946,0.000297,-0.000297,21-11-14,18-12-14,21-11-14
7343,Kepler-1253 b,Kepler-1253,1,1,Transit,2016,Kepler,Published Confirmed,0,68.88619150000001,0.0005269999999999999,-0.0005269999999999999,0.0,,,1.33,0.18,-0.18,0.0,,,0,5850.0,65.89,-56.44,0.0,1.1,0.15,-0.13,0.0,0.97,0.06,-0.06,0.0,-0.14,0.147,-0.145,0.0,[Fe/H],4.33,0.11,-0.1,0.0,18h55m32.45s,283.8852196,+47d38m13.74s,47.63715070000001,514.524,5.696000000000001,-5.696000000000001,12.588,0.172,-0.172,11.015999999999998,0.017,-0.017,12.4566,0.000188,-0.000188,06-05-16 9:20,2016-05,10-05-16
7352,Kepler-1254 b,Kepler-1254,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,9.99115241,5.857e-05,-5.857e-05,0.0,0.0833,0.0,1.68,0.05,-0.12,0.0,0.0,0.0,0,4838.0,77.0,-77.0,0.0,0.8,0.03,-0.05,0.0,0.77,0.05,-0.03,0.0,0.18,0.15,-0.15,0.0,[Fe/H],4.52,0.06,-0.02,0.0,19h00m41.60s,285.1733174,+48d46m12.04s,48.7700099,622.818,8.81,-8.81,15.540999999999999,0.16,-0.16,13.292,0.04,-0.04,15.3024,0.00044699999999999997,-0.00044699999999999997,08-05-17,31-08-17 0:00,08-05-17
7360,Kepler-1254 c,Kepler-1254,1,3,Transit,2016,Kepler,Published Confirmed,0,,,,,,,1.186,0.075,-0.084,0.0,,,0,4826.0,97.0,-97.0,0.0,0.7,0.03,-0.03,0.0,,,,,,,,,,,,,,19h00m41.60s,285.1733174,+48d46m12.04s,48.7700099,622.818,8.81,-8.81,15.540999999999999,0.16,-0.16,13.292,0.04,-0.04,15.3024,0.00044699999999999997,-0.00044699999999999997,04-09-18 17:00,2018-10,06-09-18
7367,Kepler-1254 d,Kepler-1254,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,5.72716067,3.048e-05,-3.048e-05,0.0,0.0575,0.0,1.4,0.05,-0.09,0.0,0.0,0.0,0,4838.0,77.0,-77.0,0.0,0.8,0.03,-0.05,0.0,0.77,0.05,-0.03,0.0,0.18,0.15,-0.15,0.0,[Fe/H],4.52,0.06,-0.02,0.0,19h00m41.60s,285.1733174,+48d46m12.04s,48.7700099,622.818,8.81,-8.81,15.540999999999999,0.16,-0.16,13.292,0.04,-0.04,15.3024,0.00044699999999999997,-0.00044699999999999997,08-05-17,31-08-17 0:00,08-05-17
7374,Kepler-1255 b,Kepler-1255,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,36.2919336,0.00031560000000000003,-0.00031560000000000003,0.0,0.2171,0.0,2.02,0.86,-0.19,0.0,0.0,0.0,0,6168.0,169.0,-206.0,0.0,0.96,0.41,-0.09,0.0,1.03,0.17,-0.13,0.0,-0.24,0.26,-0.3,0.0,[Fe/H],4.49,0.05,-0.3,0.0,19h40m57.42s,295.2392569,+42d43m35.34s,42.7264842,1617.07,84.545,-84.545,15.308,0.069,-0.069,13.692,0.045,-0.045,15.199000000000002,0.00042300000000000004,-0.00042300000000000004,18-11-14,04-12-14,18-11-14
7383,Kepler-1256 b,Kepler-1256,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,12.4127754,0.00010800000000000001,-0.00010800000000000001,0.0,0.1097,0.0,1.4,0.79,-0.24,0.0,0.0,0.0,0,6453.0,151.0,-223.0,0.0,1.28,0.72,-0.22,0.0,1.14,0.27,-0.15,0.0,-0.18,0.22,-0.32,0.0,[Fe/H],4.28,0.12,-0.31,0.0,19h25m53.82s,291.4742443,+44d41m00.28s,44.6834119,891.192,13.1485,-13.1485,13.685,0.057,-0.057,12.234000000000002,0.016,-0.016,13.513,0.00021400000000000002,-0.00021400000000000002,25-08-15,24-09-15,25-08-15
7391,Kepler-1257 b,Kepler-1257,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,2.66831274,1.026e-05,-1.026e-05,0.0,0.0376,0.0,1.48,0.37,-0.13,0.0,0.0,0.0,0,5806.0,157.0,-192.0,0.0,0.9,0.23,-0.08,0.0,1.0,0.1,-0.13,0.0,-0.04,0.25,-0.3,0.0,[Fe/H],4.53,0.04,-0.17,0.0,19h44m18.15s,296.07562310000003,+45d37m37.26s,45.627016499999996,1105.95,42.89,-42.89,15.644,0.183,-0.183,13.847999999999999,0.045,-0.045,15.5124,0.00049,-0.00049,08-05-17,31-08-17 0:00,08-05-17
7399,Kepler-1258 b,Kepler-1258,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,0.98494017,3.18e-06,-3.18e-06,0.0,0.0194,0.0,0.84,0.32,-0.07,0.0,0.0,0.0,0,6060.0,145.0,-170.0,0.0,0.93,0.36,-0.08,0.0,1.01,0.12,-0.12,0.0,-0.22,0.26,-0.3,0.0,[Fe/H],4.51,0.04,-0.28,0.0,19h01m37.19s,285.4049723,+49d59m41.35s,49.9948186,717.555,8.786,-8.786,13.929,0.08,-0.08,12.382,0.026000000000000002,-0.026000000000000002,13.7847,0.00022,-0.00022,25-08-15,24-09-15,25-08-15
7407,Kepler-1259 b,Kepler-1259,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,0.66308526,8.7e-07,-8.7e-07,0.0,0.0142,0.0,1.48,0.28,-0.1,0.0,0.0,0.0,0,5166.0,185.0,-144.0,0.0,0.79,0.15,-0.06,0.0,0.87,0.07,-0.08,0.0,0.1,0.26,-0.26,0.0,[Fe/H],4.58,0.02,-0.13,0.0,19h51m21.95s,297.8414628,+46d58m03.46s,46.96762879999999,805.562,16.362000000000002,-16.362000000000002,15.556,0.057,-0.057,13.28,0.033,-0.033,15.333,0.0009789999999999998,-0.0009789999999999998,25-08-15,24-09-15,25-08-15
7415,Kepler-126 b,Kepler-126,1,3,Transit,2014,Kepler,Published Confirmed,0,10.49567752,1.699e-05,-1.699e-05,0.0,,,1.47,0.03,-0.1,0.0,,,1,6311.0,81.39,-75.46,0.0,1.35,0.03,-0.04,0.0,1.18,0.04,-0.06,0.0,-0.07,0.078,-0.084,0.0,[Fe/H],4.25,0.01,-0.01,0.0,19h17m23.37s,289.34736339999995,+44d12m30.40s,44.2084445,237.40099999999998,1.6585,-1.6585,10.505,0.006,-0.006,9.344,0.011000000000000001,-0.011000000000000001,10.454,0.000361,-0.000361,06-05-16 9:26,2016-05,10-05-16
7426,Kepler-126 c,Kepler-126,1,3,Transit,2014,Kepler,Published Confirmed,0,21.869741,8.2e-05,-8.2e-05,0.0,0.162,0.0,1.58,0.13,-0.13,0.0,,,1,6239.0,94.0,-94.0,0.0,1.36,0.02,-0.02,0.0,,,,,,,,,,4.25,0.04,-0.04,0.0,19h17m23.37s,289.34736339999995,+44d12m30.40s,44.2084445,237.40099999999998,1.6585,-1.6585,10.505,0.006,-0.006,9.344,0.011000000000000001,-0.011000000000000001,10.454,0.000361,-0.000361,14-05-14,2014-03,14-05-14
7437,Kepler-126 d,Kepler-126,1,3,Transit,2014,Kepler,Published Confirmed,0,100.2828693,0.0001737,-0.0001737,0.0,,,2.51,0.07,-0.07,0.0,,,1,6311.0,81.39,-75.46,0.0,1.35,0.03,-0.04,0.0,1.18,0.04,-0.06,0.0,-0.07,0.078,-0.084,0.0,[Fe/H],4.25,0.01,-0.01,0.0,19h17m23.37s,289.34736339999995,+44d12m30.40s,44.2084445,237.40099999999998,1.6585,-1.6585,10.505,0.006,-0.006,9.344,0.011000000000000001,-0.011000000000000001,10.454,0.000361,-0.000361,06-05-16 9:26,2016-05,10-05-16
7448,Kepler-1260 b,Kepler-1260,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,19.1187425,0.00017209999999999998,-0.00017209999999999998,0.0,0.1444,0.0,2.33,0.37,-0.45,0.0,0.0,0.0,0,5862.0,79.0,-79.0,0.0,1.46,0.23,-0.28,0.0,1.1,0.1,-0.08,0.0,0.16,0.15,-0.15,0.0,[Fe/H],4.15,0.18,-0.1,0.0,19h42m21.90s,295.59126519999995,+42d33m18.81s,42.5552261,1734.43,68.45,-68.45,14.953,0.10300000000000001,-0.10300000000000001,13.183,0.027000000000000003,-0.027000000000000003,14.8234,0.00034500000000000004,-0.00034500000000000004,08-05-17,31-08-17 0:00,08-05-17
7457,Kepler-1261 b,Kepler-1261,1,1,Transit,2016,Kepler,Published Confirmed,0,48.43114985,5.92e-06,-5.92e-06,0.0,,,,,,,,,0,4865.55,92.61,-92.61,0.0,0.77,,,0.0,0.79,,,0.0,0.009000000000000001,0.09,-0.09,0.0,[M/H],4.56,,,0.0,19h00m55.79s,285.23247860000004,+48d48m24.11s,48.8066963,744.294,14.017999999999999,-14.017999999999999,15.817,0.10300000000000001,-0.10300000000000001,13.558,0.053,-0.053,15.5817,0.0004969999999999999,-0.0004969999999999999,26-07-16 21:41,2016-07,28-07-16
7466,Kepler-1262 b,Kepler-1262,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,8.67900242,3.79e-05,-3.79e-05,0.0,0.0829,0.0,1.91,0.78,-0.22,0.0,0.0,0.0,0,6112.0,164.0,-200.0,0.0,1.04,0.42,-0.12,0.0,1.01,0.17,-0.12,0.0,-0.2,0.26,-0.3,0.0,[Fe/H],4.41,0.08,-0.28,0.0,19h15m05.24s,288.7718287,+42d12m47.41s,42.2131694,1054.87,29.915,-29.915,15.155,0.115,-0.115,13.629000000000001,0.039,-0.039,15.1837,0.000404,-0.000404,18-11-14,04-12-14,18-11-14
7474,Kepler-1263 b,Kepler-1263,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,4.55139967,2.128e-05,-2.128e-05,0.0,0.051,0.0,1.14,0.34,-0.08,0.0,0.0,0.0,0,5310.0,179.0,-144.0,0.0,0.79,0.23,-0.06,0.0,0.85,0.09,-0.09,0.0,-0.08,0.3,-0.28,0.0,[Fe/H],4.58,0.03,-0.18,0.0,19h05m56.07s,286.48362599999996,+46d45m09.43s,46.7526182,664.83,9.049501,-9.049501,15.173,0.069,-0.069,13.08,0.027999999999999997,-0.027999999999999997,15.0007,0.000362,-0.000362,21-11-14,18-12-14,21-11-14
