,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
1354,HD 1605 b,HD 1605,1,2,Radial Velocity,2015,Multiple Observatories,Published Confirmed,0,577.2,2.5,-2.5,0.0,1.492,0.0,,,,,0.095,0.0,0,4915.0,,,0.0,3.49,0.22,-0.22,0.0,1.33,0.09,-0.09,0.0,0.22,,,0.0,[Fe/H],,,,,00h20m31.62s,5.1317547999999995,+30d58m30.22s,30.975061100000005,88.8047,0.3739,-0.3739,7.52,0.03,-0.03,5.272,0.02,-0.02,7.256880000000001,0.000202,-0.000202,25-09-18 16:47,2018-11,27-09-18
1357,HD 1605 c,HD 1605,1,2,Radial Velocity,2015,Multiple Observatories,Published Confirmed,0,2111.0,42.0,-32.0,0.0,3.52,0.0,,,,,0.098,0.0,0,4757.0,50.0,-50.0,0.0,3.8,0.4,-0.4,0.0,1.31,0.11,-0.11,0.0,0.21,0.05,-0.05,0.0,[Fe/H],3.4,0.07,-0.08,0.0,00h20m31.62s,5.1317547999999995,+30d58m30.22s,30.975061100000005,88.8047,0.3739,-0.3739,7.52,0.03,-0.03,5.272,0.02,-0.02,7.256880000000001,0.000202,-0.000202,25-09-18 16:47,2015-06,01-04-15
1359,HD 160691 b,HD 160691,1,4,Radial Velocity,2000,Anglo-Australian Telescope,Published Confirmed,0,643.25,0.9,-0.9,0.0,1.4969999999999999,0.0,,,,,0.128,0.0,0,,,,,,,,,1.08,,,0.0,,,,,,,,,,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,0.0295,-0.0295,5.12,0.03,-0.03,3.6830000000000003,0.24600000000000002,-0.24600000000000002,4.94916,0.0028308000000000005,-0.0028308000000000005,25-03-19 16:43,2007-02,28-03-19
1364,HD 160691 c,HD 160691,1,4,Radial Velocity,2004,Anglo-Australian Telescope,Published Confirmed,0,2986.0,30.0,-30.0,0.0,4.17,0.0,,,,,0.57,0.0,0,5807.0,30.0,-30.0,0.0,,,,,1.08,0.05,-0.05,0.0,0.263,0.03,-0.03,0.0,[Fe/H],4.37,0.05,-0.05,0.0,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,0.0295,-0.0295,5.12,0.03,-0.03,3.6830000000000003,0.24600000000000002,-0.24600000000000002,4.94916,0.0028308000000000005,-0.0028308000000000005,21-08-14,2004-12,21-08-14
1367,HD 160691 d,HD 160691,1,4,Radial Velocity,2004,La Silla Observatory,Published Confirmed,0,9.6369,0.005,-0.005,0.0,0.09286,0.0,,,,,0.184,0.0,0,5771.56,101.73,-101.73,0.0,1.38,0.06,-0.06,0.0,1.03,0.13,-0.13,0.0,0.302,0.006,-0.006,0.0,[M/H],4.17,0.07,-0.07,0.0,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,0.0295,-0.0295,5.12,0.03,-0.03,3.6830000000000003,0.24600000000000002,-0.24600000000000002,4.94916,0.0028308000000000005,-0.0028308000000000005,21-08-14,2007-03,21-08-14
1370,HD 160691 e,HD 160691,1,4,Radial Velocity,2006,La Silla Observatory,Published Confirmed,0,307.475,1.5,-1.5,0.0,0.934,0.0,,,,,0.079,0.0,0,5771.56,101.73,-101.73,0.0,1.38,0.06,-0.06,0.0,1.03,0.13,-0.13,0.0,0.302,0.006,-0.006,0.0,[M/H],4.17,0.07,-0.07,0.0,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,0.0295,-0.0295,5.12,0.03,-0.03,3.6830000000000003,0.24600000000000002,-0.24600000000000002,4.94916,0.0028308000000000005,-0.0028308000000000005,21-08-14,2007-03,21-08-14
1372,HD 16141 b,HD 16141,2,1,Radial Velocity,2000,W. M. Keck Observatory,Published Confirmed,0,75.523,0.055,-0.055,0.0,0.363,0.0,,,,,0.252,0.0,0,5794.0,44.0,-44.0,0.0,,,,,1.12,,,0.0,0.17,0.03,-0.03,0.0,[Fe/H],4.22,0.06,-0.06,0.0,02h35m19.77s,38.8323674,-03d33m44.96s,-3.5624887000000003,37.7861,0.0834,-0.0834,6.834,0.015,-0.015,5.266,0.023,-0.023,6.65773,0.000295,-0.000295,25-04-18 14:08,2006-07,14-05-14
1374,HD 16175 b,HD 16175,1,1,Radial Velocity,2009,Lick Observatory,Published Confirmed,0,990.0,20.0,-20.0,0.0,2.1,0.0,,,,,0.59,0.0,0,6080.0,70.0,-70.0,0.0,1.68,0.04,-0.04,0.0,1.29,0.09,-0.09,0.0,0.39,0.06,-0.06,0.0,,4.4,0.2,-0.2,0.0,02h37m01.86s,39.257737899999995,+42d03m44.83s,42.0624526,59.858999999999995,0.24675,-0.24675,7.297000000000001,0.023,-0.023,5.853,0.021,-0.021,7.1291,0.00032,-0.00032,25-04-18 14:07,2009-06,14-05-14
1377,HD 162020 b,HD 162020,1,1,Radial Velocity,2002,La Silla Observatory,Published Confirmed,0,8.4282,5.6000000000000006e-05,-5.6000000000000006e-05,0.0,0.08,0.0,,,,,0.28,0.0,0,4723.0,71.0,-71.0,0.0,0.75,0.03,-0.03,0.0,0.42,0.18,-0.18,0.0,-0.1,,,0.0,[Fe/H],4.31,0.18,-0.18,0.0,17h50m38.38s,267.6599252,-40d19m06.47s,-40.3184646,30.8248,0.07135,-0.07135,9.1,0.03,-0.03,6.539,0.024,-0.024,8.75949,0.00046100000000000004,-0.00046100000000000004,04-09-18 16:15,2017-03,06-09-18
1379,HD 163607 b,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,Published Confirmed,0,75.195,0.034,-0.034,0.0,0.36200000000000004,0.0,,,,,0.7440000000000001,0.0,0,5522.0,,,0.0,1.76,0.07,-0.07,0.0,1.12,0.16,-0.16,0.0,0.19,,,0.0,[Fe/H],,,,,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,0.16355,-0.16355,8.0,0.03,-0.03,6.271,0.02,-0.02,7.8129800000000005,0.000271,-0.000271,03-12-18 14:48,2018-11,27-09-18
1382,HD 163607 c,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,Published Confirmed,0,1267.4,7.2,-7.2,0.0,2.38,0.0,,,,,0.076,0.0,0,5522.0,,,0.0,1.76,0.07,-0.07,0.0,1.12,0.16,-0.16,0.0,0.19,,,0.0,[Fe/H],,,,,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,0.16355,-0.16355,8.0,0.03,-0.03,6.271,0.02,-0.02,7.8129800000000005,0.000271,-0.000271,03-12-18 14:48,2018-11,27-09-18
1385,HD 16417 b,HD 16417,2,1,Radial Velocity,2008,Anglo-Australian Telescope,Published Confirmed,0,17.24,0.01,-0.01,0.0,0.14,0.0,,,,,0.2,0.0,0,,,,,,,,,1.2,,,0.0,0.06,,,0.0,[Fe/H],,,,,02h36m58.58s,39.2441029,-34d34m44.73s,-34.5790905,25.3936,0.03525,-0.03525,5.78,0.03,-0.03,4.246,0.018000000000000002,-0.018000000000000002,5.61319,0.0010614,-0.0010614,28-01-19 15:51,2009-06,31-01-19
1386,HD 164509 b,HD 164509,2,1,Radial Velocity,2010,W. M. Keck Observatory,Published Confirmed,0,280.17,0.82,-0.82,0.0,0.87,0.0,,,,,0.23800000000000002,0.0,0,5859.0,,,0.0,1.11,0.06,-0.06,0.0,1.12,0.19,-0.19,0.0,0.2,,,0.0,[Fe/H],,,,,18h01m31.22s,270.38008110000004,+00d06m16.09s,0.10446849999999999,53.1119,0.14285,-0.14285,8.1,0.03,-0.03,6.586,0.021,-0.021,7.955939999999999,0.000404,-0.000404,25-09-18 16:47,2018-11,27-09-18
1388,HD 164595 b,HD 164595,2,1,Radial Velocity,2015,Haute-Provence Observatory,Published Confirmed,0,40.0,0.24,-0.24,0.0,0.23,0.0,,,,,0.08800000000000001,0.0,0,5790.0,40.0,-40.0,0.0,,,,,0.99,0.03,-0.03,0.0,-0.04,0.08,-0.08,0.0,[Fe/H],4.44,0.05,-0.05,0.0,18h00m38.73s,270.16137230000004,+29d34m21.61s,29.572669800000003,28.254,0.02075,-0.02075,7.08597,0.023,-0.023,5.482,0.021,-0.021,6.8947199999999995,0.000223,-0.000223,08-09-15 17:11,2015-09,10-09-15
1389,HD 164604 b,HD 164604,1,1,Radial Velocity,2009,Las Campanas Observatory,Published Confirmed,0,606.4,9.0,-9.0,0.0,1.3,0.0,,,,,0.24,0.0,0,,,,,,,,,0.8,,,0.0,-0.18,,,0.0,[Fe/H],,,,,18h03m06.89s,270.77871769999996,-28d33m39.00s,-28.5608343,39.3633,0.0961,-0.0961,9.62,0.03,-0.03,7.169,0.02,-0.02,9.327860000000001,0.000339,-0.000339,14-05-19 12:43,2010-03,31-01-19
1391,HD 164922 b,HD 164922,1,3,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,1201.1,5.6,-5.5,0.0,2.115,0.0,,,,,0.126,0.0,0,5293.0,32.0,-32.0,0.0,1.0,0.02,-0.02,0.0,0.87,0.01,-0.01,0.0,0.16,0.05,-0.05,0.0,[Fe/H],4.39,0.01,-0.01,0.0,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,0.01515,-0.01515,7.01227,0.023,-0.023,5.113,0.02,-0.02,6.78614,0.000171,-0.000171,15-05-20 10:00,2016-10,27-10-16
1395,HD 164922 c,HD 164922,1,3,Radial Velocity,2016,Multiple Observatories,Published Confirmed,0,75.765,0.057999999999999996,-0.055999999999999994,0.0,0.3351,0.0,,,,,0.22,0.0,0,5293.0,32.0,-32.0,0.0,1.0,0.02,-0.02,0.0,0.87,0.01,-0.01,0.0,0.16,0.05,-0.05,0.0,[Fe/H],4.39,0.01,-0.01,0.0,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,0.01515,-0.01515,7.01227,0.023,-0.023,5.113,0.02,-0.02,6.78614,0.000171,-0.000171,15-05-20 10:00,2016-10,27-10-16
1397,HD 164922 d,HD 164922,1,3,Radial Velocity,2020,Roque de los Muchachos Observatory,Published Confirmed,0,12.458,0.003,-0.003,0.0,0.10300000000000001,0.0,,,,,0.12,0.0,0,5390.0,30.0,-30.0,0.0,0.95,0.01,-0.02,0.0,0.93,0.03,-0.04,0.0,0.18,0.08,-0.08,0.0,[Fe/H],4.46,0.13,-0.13,0.0,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,0.01515,-0.01515,7.01227,0.023,-0.023,5.113,0.02,-0.02,6.78614,0.000171,-0.000171,15-05-20 10:00,2020-05,21-05-20
1398,HD 165155 b,HD 165155,1,1,Radial Velocity,2016,Multiple Observatories,Published Confirmed,0,434.5,2.1,-2.1,0.0,1.13,0.0,,,,,0.2,0.0,0,5426.0,100.0,-100.0,0.0,0.95,0.11,-0.11,0.0,1.02,0.05,-0.05,0.0,0.09,0.1,-0.1,0.0,[Fe/H],4.49,0.11,-0.11,0.0,18h05m57.44s,271.4893395,-29d55m02.11s,-29.917253600000002,63.3574,0.2176,-0.2176,9.36,0.03,-0.03,7.584,0.02,-0.02,9.21413,0.000281,-0.000281,09-11-16 10:57,2017-04,10-11-16
